BenchmarkJSON/UnicodeRuns/Unmarshal   175408	      1886 ns/op	2198.21 MB/s	      1896 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   189033	      1909 ns/op	2171.55 MB/s	      1914 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   173080	      1779 ns/op	2330.75 MB/s	      1786 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   198460	      1790 ns/op	2315.75 MB/s	      1806 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   172741	      1873 ns/op	2213.70 MB/s	      1878 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   182505	      1785 ns/op	2323.09 MB/s	      1792 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   179214	      1959 ns/op	2116.50 MB/s	      1969 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   180028	      2013 ns/op	2060.07 MB/s	      2022 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   163056	      1935 ns/op	2142.53 MB/s	      1944 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   176341	      1767 ns/op	2346.09 MB/s	      1786 cpu-ns/op	    4864 B/op	       1 allocs/op
